id_animal,perimetro_toracico_cm,comprimento_corporal_cm,fator_genetico,peso_kg
1,197.5,145.8,11153.0,550.6
2,187.9,145.5,10913.0,479.3
3,199.7,132.0,10879.0,474.7
4,212.8,146.7,10904.0,614.7
5,186.5,157.3,11441.0,504.9
6,186.5,137.3,10857.0,467.1
7,213.7,160.5,11171.0,647.4
8,201.5,154.9,11629.0,544.6
9,183.0,142.7,11124.0,407.8
10,198.1,148.6,11640.0,513.5
11,183.0,166.0,11620.0,501.9
12,183.0,157.3,11070.0,476.6
13,193.6,150.1,11602.0,475.0
14,161.3,147.6,11623.0,335.9
15,164.1,150.8,11237.0,367.7
16,181.6,144.9,11031.0,434.2
17,174.8,129.0,11373.0,349.1
18,194.7,170.4,11814.0,544.3
19,176.4,151.6,11504.0,424.8
20,168.8,154.0,10990.0,410.3
21,212.0,149.4,11551.0,566.6
22,186.6,142.6,11270.0,425.6
23,191.0,148.1,11451.0,468.2
24,168.6,134.0,11607.0,339.3
25,181.8,172.8,11366.0,504.8
26,191.7,137.7,11695.0,422.7
27,172.7,139.7,11594.0,363.4
28,195.6,145.6,11477.0,480.6
29,181.0,162.9,10966.0,499.8
30,185.6,150.1,11720.0,446.4
31,181.0,137.6,11829.0,376.3
32,217.8,162.5,10951.0,707.5
33,189.8,157.3,11337.0,519.6
34,174.1,155.4,11085.0,416.5
35,202.3,157.2,11630.0,559.3
36,171.7,173.9,11594.0,441.2
37,193.1,171.9,10955.0,591.5
38,160.6,143.1,11765.0,304.0
39,170.1,166.2,10999.0,438.8
40,193.0,153.8,11677.0,507.1
41,201.1,155.0,11303.0,540.4
42,192.6,133.1,11161.0,422.2
43,188.3,148.3,10974.0,459.6
44,185.5,141.9,10984.0,426.8
45,167.8,158.3,11528.0,395.6
46,179.2,160.7,11405.0,431.4
47,183.1,129.3,10934.0,391.8
48,205.9,149.8,10924.0,590.3
49,195.2,161.2,10880.0,570.6
50,163.6,148.1,11618.0,335.3
